0	0	postive	i was very impressed with his work on the first one 
1	1	postive	i thought the first one was creative and inventive and really brought something new to the cinema 
2	2	postive	but the second one it didnt in some ways take to the next level 
3	3	negative	but in some ways the first one was better 
4	4	negative	so it was just about equal to the first one 
5	5	negative	now um but some of the brush plot that you mey think i hated this movie 
6	6	postive	now um but some of the brush plot that you mey think i hated this movie but youre wrong actually i did 
7	7	postive	i really liked it 
8	8	postive	first im gonna get into the acting which was much much better than the second one 
9	9	negative	the second one had wooden acting in some places im sorry 
10	10	postive	i did like the second one 
11	11	postive	but there most of the actors we so witty exception may be the police cop and kim kimberly 
12	12	negative	but the rest of the actors were so wooden 
13	13	negative	they were just theyre just they just why acting what theyre doing anyway 
14	14	negative	i dont know they do seem they need to learn acting better 
15	15	postive	anyway the further i went acting was much much better in the second one 
16	16	postive	anyway mary elizabeth winstead oh my god she is a traffic 
17	17	neutral	shes nice looking as well 
18	18	postive	but she is also a traffic actress 
19	19	postive	olso this is one of the best performances ive ever seen out of hers 
20	20	postive	ive not seen one bad movie that shes been into 
21	21	negative	traffic in that 
22	22	postive	but mary elizabeth winstead i must say she is a traffic and beautiful and talented access 
23	23	postive	she displays the emotional distress of her character so well 
24	24	postive	you actually feel for her character 
25	25	postive	you know shes going through the stress and you feel sorry for her and you wanna help her 
26	26	postive	probably one of the probably one of the fims od sundance 2011 
27	27	postive	um as really the best way to describe this film is its big 
28	28	postive	its bold 
29	29	postive	its strong 
30	30	postive	it makes big powerful statements 
31	31	postive	it doesnt hold back 
32	32	postive	everything from the way its being released to the performances and to the story itself is absolutely overt the top impressive 
33	33	postive	and really well done 
34	34	postive	its a huge break through for kevin smith 
35	35	postive	its completely different from anything weve ever seen him do before 
36	36	postive	john goodman absolutely amazing 
37	37	postive	melissa leo will have you creeped out to your inner core with her tiny little smile 
38	38	postive	its so well done 
39	39	postive	for all of those people who are hating on it i dont know what they are complaining about it 
40	40	postive	its a horror film ia a true sense 
41	41	negative	and it is absolutely horrifying 
42	42	postive	um it is it is definately one of those films thats not gonna be easy for you to find 
43	43	postive	its being released in a very interesting way 
44	44	postive	whenever it comes to your town do not miss it 
45	45	postive	its extremly well made 
46	46	postive	its extremly dare i say fun to watch in a really messed up kind of way 
